"","votecanmiss","conditions","age","sex","educ","yearsinus","ideology"
"1",1,1,42,2,5,15,8
"2",0,3,39,2,6,25,2
"3",0,4,49,1,4,17,8
"4",1,3,61,1,1,24,6
"5",0,3,19,1,12,9,2
"6",1,1,29,2,5,19,8
"7",1,1,44,2,3,25,8
"8",1,4,27,2,10,7,3
"9",0,1,39,1,5,16,2
"10",1,1,23,2,8,21,8
"11",0,2,15,1,10,15,8
"12",0,3,46,2,10,28,2
"13",1,2,47,2,2,25,6
"14",0,2,23,2,4,6,3
"15",0,1,48,2,4,25,4
"16",0,1,38,2,15,35,2
"17",0,1,53,1,3,35,6
"18",0,4,40,2,3,26,2
"19",1,1,22,2,13,15,2
"20",1,4,42,2,4,24,7
"21",1,4,53,2,3,37,4
"22",0,1,35,2,4,8,8
"23",0,4,57,1,3,41,1
"24",1,2,19,2,12,18,5
"25",0,4,28,2,12,23,2
"26",0,4,30,1,10,10,3
"27",0,3,37,2,7,23,8
"28",1,3,29,2,9,10,6
"29",0,1,69,1,3,44,6
"30",0,2,41,1,3,23,4
"31",0,2,24,1,14,24,6
"32",0,3,57,2,4,15,4
"33",0,2,56,2,4,36,5
"34",0,4,38,2,10,28,8
"35",NA,NA,37,2,8,18,NA
"36",0,1,31,2,4,13,5
"37",1,3,41,2,9,31,6
"38",1,4,49,1,4,27,6
"39",0,3,49,2,4,26,2
"40",0,2,51,2,4,30,4
"41",0,3,55,2,10,42,6
"42",1,3,41,2,4,23,4
"43",1,4,31,2,5,15,8
"44",0,3,19,2,8,13,8
"45",0,3,52,2,15,27,1
"46",NA,2,47,1,4,29,5
"47",1,4,54,1,3,31,3
"48",0,4,28,1,4,22,2
"49",1,1,28,2,12,27,8
"50",0,1,NA,1,3,16,4
"51",NA,4,54,1,5,36,2
"52",1,4,59,2,12,35,4
"53",NA,3,34,2,3,17,4
"54",NA,4,44,1,4,27,4
"55",0,3,65,2,3,44,998
"56",0,1,23,2,11,20,5
"57",0,4,65,1,2,34,2
"58",0,1,17,2,7,2,4
"59",0,4,43,2,3,23,2
"60",NA,3,53,1,3,33,NA
"61",0,3,27,1,5,11,4
"62",0,2,48,1,4,28,8
"63",0,4,50,1,1,33,8
"64",0,1,32,2,2,NA,998
"65",NA,NA,45,1,8,13,8
"66",1,4,29,1,14,14,8
"67",0,2,43,1,2,27,8
"68",0,1,32,2,11,16,8
"69",0,2,17,2,6,17,8
"70",0,3,23,2,7,14,2
"71",0,3,69,1,1,29,998
"72",0,3,33,2,3,15,998
"73",0,2,18,1,8,3,4
"74",0,1,48,2,4,26,1
"75",0,1,45,2,10,36,6
"76",0,4,47,2,10,24,998
"77",0,1,19,1,10,1,8
"78",0,3,24,2,14,22,8
"79",1,3,38,2,4,NA,4
"80",1,2,34,2,12,31,3
"81",0,2,28,2,14,10,4
"82",NA,NA,30,2,12,26,2
"83",0,4,62,2,3,30,6
"84",0,2,42,1,7,32,2
"85",1,1,37,2,7,21,8
"86",0,3,66,2,3,29,4
"87",0,2,29,1,3,13,3
"88",0,4,29,2,12,24,5
"89",1,4,55,2,3,24,6
"90",0,1,34,2,4,12,8
"91",0,1,45,2,4,20,6
"92",0,2,33,1,12,11,3
"93",0,1,50,1,3,32,4
"94",0,2,NA,2,4,28,8
"95",0,4,45,2,8,12,5
"96",1,2,42,2,15,32,5
"97",NA,NA,54,2,12,26,NA
"98",0,2,44,1,12,27,2
"99",0,3,15,1,10,11,1
"100",0,4,26,2,8,12,2
"101",0,2,39,1,5,19,8
"102",0,3,32,1,11,11,8
"103",0,1,23,2,9,19,8
"104",0,4,55,1,1,38,8
"105",1,1,46,2,10,22,6
"106",0,2,36,1,8,21,6
"107",1,3,41,2,4,10,8
"108",0,2,20,1,13,17,2
"109",1,4,21,2,13,20,3
"110",0,1,27,1,10,8,4
"111",0,3,28,1,8,8,3
"112",0,4,36,2,4,14,8
"113",0,4,68,1,2,54,6
"114",1,4,35,2,3,25,8
"115",0,3,35,2,6,18,8
"116",1,1,20,1,10,20,8
"117",1,3,34,2,5,11,5
"118",0,1,36,2,14,14,8
"119",0,3,35,1,13,14,1
"120",0,3,24,2,9,10,8
"121",NA,4,56,1,14,42,8
"122",0,1,33,2,8,10,7
"123",1,4,18,2,7,13,2
"124",0,1,41,1,5,24,6
"125",0,1,41,2,3,26,4
"126",1,3,53,2,13,29,4
"127",1,4,47,1,13,10,8
"128",1,1,34,2,5,15,2
"129",NA,NA,61,2,2,33,999
"130",0,4,65,1,3,44,4
"131",1,2,28,2,NA,22,2
"132",0,1,76,1,3,42,2
"133",1,4,50,2,3,2,6
"134",0,3,74,1,3,53,8
"135",1,2,67,1,5,13,8
"136",NA,1,76,1,2,44,8
"137",0,1,69,2,2,43,1
"138",0,4,30,2,10,23,6
"139",NA,NA,46,2,8,43,2
"140",1,3,NA,2,14,NA,3
"141",1,2,57,1,3,38,8
"142",0,1,44,2,13,38,6
"143",1,3,54,1,NA,35,4
"144",1,3,39,2,10,5,998
"145",1,1,32,1,10,13,3
"146",0,3,23,2,12,10,8
"147",0,2,26,1,14,13,3
"148",1,2,51,1,12,47,6
"149",NA,NA,66,2,6,35,998
"150",0,3,54,2,12,33,4
"151",NA,NA,39,2,14,9,999
"152",0,2,41,1,13,11,2
"153",1,2,55,2,12,27,4
"154",1,3,41,2,14,38,7
"155",0,3,38,2,14,14,6
"156",0,2,34,2,12,14,4
"157",NA,NA,56,1,13,40,999
"158",0,4,40,2,11,40,998
"159",NA,2,55,2,14,23,7
"160",0,4,82,1,2,38,6
"161",1,4,21,2,5,1,2
"162",0,2,66,2,5,27,4
"163",1,4,53,1,2,30,7
"164",1,4,36,1,14,10,3
"165",0,1,63,1,10,14,4
"166",0,3,81,2,5,49,8
"167",NA,4,84,1,5,50,7
"168",NA,4,73,1,3,46,999
"169",0,2,42,1,3,25,6
"170",1,1,47,2,14,22,3
"171",1,2,58,1,11,43,3
"172",1,1,52,2,9,33,998
"173",NA,4,37,2,5,9,999
"174",NA,3,21,1,10,13,8
"175",0,2,37,2,9,23,8
"176",0,3,43,2,13,1,3
"177",0,1,66,2,5,28,4
"178",0,1,62,2,NA,48,4
"179",NA,NA,24,1,10,25,8
"180",0,2,55,2,5,39,2
"181",NA,NA,77,2,3,54,999
"182",0,1,46,2,14,29,4
"183",NA,NA,51,2,5,NA,998
"184",NA,NA,53,2,13,53,3
"185",1,2,27,2,12,27,8
"186",0,NA,61,2,5,34,3
"187",1,2,NA,2,12,32,8
"188",1,2,72,2,4,41,2
"189",0,2,25,2,3,1,8
"190",1,2,45,1,5,25,998
"191",1,4,35,2,5,25,8
"192",1,4,46,1,4,25,8
"193",0,3,43,2,8,29,4
"194",0,1,43,2,3,8,5
"195",0,4,17,2,7,8,2
"196",0,1,16,1,5,8,6
"197",1,4,44,2,3,26,4
"198",0,2,24,2,10,24,8
"199",1,2,47,2,NA,27,6
"200",1,3,62,1,5,27,6
